time,high,low,close,volume
1676386800,414.24,413.36,413.98,36653
1676387100,414.33,413.89,414.23,7748
1676387400,415.02,414.01,414.66,15094
1676387700,415.0,414.17,414.23,7311
1676388000,414.78,414.19,414.5,11118
1676388300,414.53,413.35,413.35,9285
1676388600,413.71,412.77,412.77,12500
1676388900,412.7,410.74,410.81,17788
1676389200,410.87,410.28,410.795,49020
1676389500,410.9,409.41,410.78,11297
1676389800,410.74,409.71,409.97,13161
1676390100,410.66,409.81,410.42,7896
1676390400,411.635,410.39,411.435,44371
1676390700,411.805,411.14,411.14,8663
1676391000,411.52,411.06,411.15,8483
1676391300,411.74,411.07,411.64,4707
1676391600,411.79,411.37,411.79,11050
1676391900,411.88,409.77,409.92,17968
1676392200,409.69,408.7,409.125,23378
1676392500,409.5,408.97,409.26,6980
1676392800,409.33,408.62,408.885,9001
1676393100,409.64,408.83,409.58,7036
1676393400,409.475,408.52,408.91,11659
1676393700,409.71,408.95,409.6,12109
1676394000,410.02,409.41,409.8,12851
1676394300,410.04,409.74,410.03,5980
1676394600,410.63,409.95,410.63,6869
1676394900,410.69,410.35,410.5,4905
1676395200,410.97,410.255,410.255,5214
1676395500,410.89,410.29,410.48,6685
1676395800,411.08,410.4,410.99,7004
1676396100,411.02,410.5,410.5,4130
1676396400,411.04,410.555,410.67,7891
1676396700,410.97,410.53,410.76,5348
1676397000,410.77,410.36,410.58,3796
1676397300,411.21,410.58,411.06,6483
1676397600,412.69,410.96,412.5,12147
1676397900,412.99,412.48,412.48,12961
1676398200,412.7,412.14,412.62,8118
1676398500,413.495,412.47,412.86,9243
1676398800,413.05,412.465,412.56,6599
1676399100,412.64,412.24,412.485,9512
1676399400,412.81,412.48,412.75,8681
1676399700,412.9,412.42,412.63,11731
1676400000,412.79,411.935,411.935,13240
1676400300,412.6,411.865,412.43,8448
1676400600,412.72,412.38,412.58,8194
1676400900,412.81,412.225,412.44,15902
1676401200,412.95,412.13,412.62,10491
1676401500,412.58,411.28,411.735,16899
1676401800,412.09,411.78,411.985,11215
1676402100,412.68,412.015,412.575,10658
1676402400,412.75,412.4,412.58,8164
1676402700,412.62,412.39,412.5,8570
1676403000,413.22,412.505,413.22,10138
1676403300,413.58,413.18,413.2,16821
1676403600,413.51,413.26,413.37,17147
1676403900,413.49,413.12,413.35,7544
1676404200,413.65,413.0,413.165,13654
1676404500,413.345,412.97,413.15,12455
1676404800,413.45,412.965,413.03,11767
1676405100,413.07,412.82,412.91,13277
1676405400,413.1,412.44,413.0,17593
1676405700,413.17,412.725,413.03,11624
1676406000,413.3,412.92,413.3,7533
1676406300,413.45,413.045,413.09,11656
1676406600,413.37,412.8,413.14,13471
1676406900,413.38,412.995,413.255,22188
1676407200,413.59,413.145,413.485,20193
1676407500,413.58,413.225,413.51,38755
1676407800,413.475,413.03,413.47,39746
1676408100,413.63,412.54,412.72,78115
1676408400,412.64,412.2,412.2,2006
1676408700,412.1,412.1,412.1,500
1676409000,412.13,412.07,412.08,3000
1676409300,412.3,412.3,412.3,200
1676409900,412.18,412.18,412.18,300
1676410200,412.26,412.26,412.26,260
1676410500,412.21,412.15,412.16,1100
1676410800,412.15,412.15,412.15,500
1676411400,412.28,412.28,412.28,200
1676411700,412.29,412.27,412.27,400
1676471400,410.92,410.17,410.83,44128
1676471700,411.08,410.6,410.61,17043
1676472000,411.45,410.36,411.0,21446
1676472300,411.47,410.835,411.47,10180
1676472600,411.54,409.785,410.2,11257
1676472900,410.48,409.87,410.18,13392
1676473200,410.94,410.13,410.81,12618
1676473500,410.93,409.87,410.25,5031
1676473800,410.49,409.885,410.255,10305
1676474100,411.285,410.31,411.19,9907
1676474400,411.36,410.655,410.655,9428
1676474700,411.06,410.62,410.87,8922
1676475000,411.66,410.65,411.65,10319
1676475300,411.56,411.08,411.3,11882
1676475600,411.47,410.53,410.53,10745
1676475900,410.905,410.54,410.63,6198
1676476200,411.0,410.54,410.81,5963
1676476500,411.13,410.6,410.77,4943
1676476800,411.29,410.67,411.29,5174
1676477100,411.94,411.18,411.68,27747
1676477400,411.91,411.61,411.77,5359
1676477700,411.86,411.33,411.495,4793
1676478000,411.62,411.34,411.62,7040
1676478300,412.12,411.55,412.12,8932
1676478600,412.165,411.5,411.565,5206
1676478900,411.985,411.5,411.92,6566
1676479200,412.47,411.85,412.35,11610
1676479500,412.71,412.3,412.55,6884
1676479800,412.7,412.46,412.46,6953
1676480100,412.725,412.14,412.15,8594
1676480400,412.3,411.895,411.905,9715
1676480700,412.045,411.23,411.635,9011
1676481000,411.63,411.33,411.39,3045
1676481300,411.49,411.26,411.28,4583
1676481600,411.39,411.06,411.23,6390
1676481900,411.43,410.98,410.98,6693
1676482200,411.21,410.92,411.21,8540
1676482500,411.55,410.85,411.2,4832
1676482800,411.61,411.24,411.61,1635
1676483100,411.615,411.44,411.44,4453
1676483400,411.8,411.525,411.8,3686
1676483700,411.8,411.495,411.495,3810
1676484000,411.77,411.455,411.455,2795
1676484300,411.77,411.185,411.76,4171
1676484600,412.04,411.83,411.97,4294
1676484900,412.12,411.84,412.1,5047
1676485200,412.28,412.065,412.28,3922
1676485500,412.4,412.2,412.31,8802
1676485800,412.485,412.13,412.37,7172
1676486100,412.42,412.21,412.365,2076
1676486400,412.825,412.375,412.71,9411
1676486700,412.9,412.695,412.8,15977
1676487000,412.91,412.58,412.87,12395
1676487300,412.98,412.8,412.98,10598
1676487600,413.05,412.83,412.89,14006
1676487900,413.37,412.84,413.225,12121
1676488200,413.45,413.12,413.445,13035
1676488500,413.51,413.07,413.07,9473
1676488800,413.285,413.09,413.14,10828
1676489100,413.24,412.91,413.195,10832
1676489400,413.355,413.1,413.215,6358
1676489700,413.31,413.02,413.23,8510
1676490000,413.43,413.135,413.385,9110
1676490300,413.49,413.04,413.04,7452
1676490600,413.11,412.64,412.64,7579
1676490900,412.655,412.355,412.4,15377
1676491200,412.725,412.43,412.725,8826
1676491500,413.01,412.765,413.01,12774
1676491800,413.01,412.72,412.79,12270
1676492100,412.925,412.51,412.6,7376
1676492400,412.84,412.46,412.46,14178
1676492700,412.82,412.44,412.75,10327
1676493000,413.115,412.745,413.115,9876
1676493300,413.185,412.925,413.1,12998
1676493600,413.26,412.8,412.95,20024
1676493900,413.32,412.93,413.31,8991
1676494200,413.55,412.97,413.21,19504
1676494500,413.955,413.055,413.955,69967
1676494800,413.97,413.87,413.97,1941
1676495100,414.23,414.02,414.21,4287
1676495400,414.21,414.19,414.19,600
1676496000,414.1,414.1,414.1,500
1676496900,414.1,414.1,414.1,500
1676497200,414.1,414.1,414.1,107
1676557800,409.45,408.82,409.125,33912
1676558100,409.35,408.36,409.35,23105
1676558400,409.625,408.7,409.265,19758
1676558700,409.645,408.86,409.315,7165
1676559000,409.7,409.02,409.24,7796
1676559300,409.4,408.83,408.925,12259
1676559600,408.965,408.465,408.82,15189
1676559900,409.55,409.0,409.3,6184
1676560200,410.03,409.31,409.65,13912
1676560500,410.18,409.4,410.16,14587
1676560800,410.58,410.105,410.12,23196
1676561100,410.48,409.99,410.36,15541
1676561400,410.76,410.405,410.74,21414
1676561700,411.31,410.57,411.095,11473
1676562000,411.24,410.83,410.855,8887
1676562300,411.58,411.125,411.57,7357
1676562600,411.65,411.145,411.34,10647
1676562900,411.35,410.965,411.34,18027
1676563200,411.81,411.295,411.76,9648
1676563500,411.76,410.86,411.28,8295
1676563800,411.52,411.04,411.31,6454
1676564100,411.48,411.08,411.38,5773
1676564400,411.45,410.78,411.135,14578
1676564700,411.395,410.92,411.35,4639
1676565000,411.64,411.29,411.44,6798
1676565300,411.36,411.0,411.22,8585
1676565600,411.53,411.19,411.47,3199
1676565900,412.02,411.61,411.79,10948
1676566200,411.83,411.52,411.52,5892
1676566500,411.72,411.405,411.435,5809
1676566800,411.62,411.28,411.36,6874
1676567100,411.68,411.3,411.6,2398
1676567400,411.88,411.67,411.79,1968
1676567700,411.87,410.88,410.88,8951
1676568000,411.91,410.925,411.89,10022
1676568300,412.13,411.835,411.93,5952
