window,group,pop_i,chunk_i,chunk_j,chunk_k,good_idx_n,i_success_n,j_success_n,ij_success_n,score_k_mean_ij,valid_score,mean_z_i_all,mean_z_j_all,mean_z_k_all,max_z_i_all,max_z_j_all,max_z_k_all,elapsed_sec,status,error,arrays_path
0,gamma095098,14,0,1,2,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,1.5815327167510986,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma095098/pop_014/eval_arrays.npz
0,gamma095098,15,0,1,2,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,1.8938484191894531,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma095098/pop_015/eval_arrays.npz
0,gamma095098,16,0,1,2,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,1.880300521850586,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma095098/pop_016/eval_arrays.npz
0,gamma095098,17,0,1,2,93,2,2,2,4.230814644230746,True,-3.9517408581008637,-7.364169932399139,-2.849399848391127,5.628150308143746,6.135290654510439,5.654559233295809,1.5564534664154053,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma095098/pop_017/eval_arrays.npz
0,gamma095098,18,0,1,2,93,3,3,3,5.2841053589652205,True,5.147353532276235,6.2932330089101844,5.2841053589652205,5.175670648092638,7.254464179875849,5.674674963771859,1.5931570529937744,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma095098/pop_018/eval_arrays.npz
0,gamma095098,19,0,1,2,93,2,2,2,4.166319937824221,True,-8.117636531031058,-2.9234637518330775,-2.64507313041687,5.7359315577167616,6.601025095872515,5.231595765429542,1.50504732131958,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma095098/pop_019/eval_arrays.npz
0,gamma095098,20,0,1,2,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,2.1835708618164062,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma095098/pop_020/eval_arrays.npz
0,gamma095098,21,0,1,2,93,2,2,2,4.791401816789033,True,4.895006222986936,5.88395561208265,4.791401816789033,5.60976208987185,7.020815284198822,5.4776373108103265,1.4893810749053955,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma095098/pop_021/eval_arrays.npz
0,gamma095098,22,0,1,2,93,2,2,2,4.407405324029637,True,3.229481849687719,5.364928418830757,4.407405324029637,5.0933354010960405,6.445319282955403,5.812748995140975,1.5695304870605469,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma095098/pop_022/eval_arrays.npz
0,gamma095098,23,0,1,2,93,2,2,2,3.6372580304005773,True,4.20123152369731,4.288459214897591,3.6372580304005773,4.643018042019553,5.3664997410412285,4.4748181984550115,1.6046335697174072,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma095098/pop_023/eval_arrays.npz
0,gamma095098,24,0,1,2,93,1,1,1,4.110508493468578,True,3.7283662974391896,4.560373797415624,4.110508493468578,3.7283662974391896,4.560373797415624,4.110508493468578,2.8570711612701416,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma095098/pop_024/eval_arrays.npz
0,gamma095098,25,0,1,2,93,1,1,1,5.459366220331193,True,5.180648415842879,6.7365120023998495,5.459366220331193,5.180648415842879,6.7365120023998495,5.459366220331193,1.5876991748809814,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma095098/pop_025/eval_arrays.npz
0,gamma095098,26,0,1,2,93,1,1,1,5.375289763207534,True,-0.4647261124902675,0.03145845290513627,0.35015389506064415,5.32968737987994,6.160799678765507,5.375289763207534,1.628474235534668,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma095098/pop_026/eval_arrays.npz
0,gamma095098,27,0,1,2,93,3,3,3,4.744044248133371,True,5.229219374577543,6.122940863332779,4.744044248133371,5.901947096626644,6.751473262756417,5.369829969201096,0.9639468193054199,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma095098/pop_027/eval_arrays.npz
0,gamma095098,28,0,1,2,93,1,1,1,4.353955421271595,True,4.539884466683827,5.222659975314519,4.353955421271595,4.539884466683827,5.222659975314519,4.353955421271595,0.9901103973388672,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma095098/pop_028/eval_arrays.npz
0,gamma095098,29,0,1,2,93,1,2,1,5.44508379215663,True,-4.887654998696482,-4.739295575418559,-3.4867726080642103,4.789852208261718,6.382524721068497,5.44508379215663,2.357257604598999,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/gamma095098/pop_029/eval_arrays.npz
0,null,0,0,1,2,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,2.3689770698547363,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/null/pop_000/eval_arrays.npz
0,null,1,0,1,2,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,1.4814167022705078,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/null/pop_001/eval_arrays.npz
0,null,2,0,1,2,93,1,1,1,3.5536520104963176,True,4.636978739388176,4.9670516363839505,3.5536520104963176,4.636978739388176,4.9670516363839505,3.5536520104963176,1.5612406730651855,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/null/pop_002/eval_arrays.npz
0,null,3,0,1,2,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,2.4193243980407715,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/null/pop_003/eval_arrays.npz
0,null,4,0,1,2,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,2.1160809993743896,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/null/pop_004/eval_arrays.npz
0,null,5,0,1,2,93,2,2,2,2.7080885620909347,True,2.7306369629561416,3.949005637680192,2.7080885620909347,3.314534873329399,4.223730045060593,3.061359589962779,2.2593159675598145,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/null/pop_005/eval_arrays.npz
0,null,6,0,1,2,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,1.9183893203735352,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/null/pop_006/eval_arrays.npz
0,null,7,0,1,2,93,2,2,2,5.331839536071669,True,-2.816014851500912,-12.208022902819437,0.14160801661566413,5.74328917996952,7.210123410433248,5.799787683561923,1.5375983715057373,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/null/pop_007/eval_arrays.npz
0,null,8,0,1,2,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,0.9990763664245605,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/null/pop_008/eval_arrays.npz
0,null,9,0,1,2,93,4,4,4,4.3569987931360545,True,1.3140700536537473,1.7764466335268398,1.5708225815682073,4.584380240663874,5.664505560980847,4.375462812210562,1.4911227226257324,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/null/pop_009/eval_arrays.npz
0,null,10,0,1,2,93,1,1,1,5.209386428622082,True,5.1825468458475346,6.230923046515398,5.209386428622082,5.1825468458475346,6.230923046515398,5.209386428622082,2.8997676372528076,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/null/pop_010/eval_arrays.npz
0,null,11,0,1,2,93,0,0,0,nan,False,nan,nan,nan,nan,nan,nan,1.622159481048584,complete,,wf_grammar_compare/wf_grammar_compare_20260518_171305/windows/window_000/null/pop_011/eval_arrays.npz
