time,k,path,size_mb,delta_mb,type,desc,rss_gb,vms_gb,sys_mem_percent
2026-05-09 17:48:16,19,l:initialization_kwargs,1.3572,0.0,dict,dict len=15,0.4163,3.0692,39.8
2026-05-09 17:48:16,19,l:initialization_kwargs['grmr_prior'],1.3556,0.0,Grammar,Grammar,0.4163,3.0692,39.8
2026-05-09 17:48:40,20,l:last_X,38.9966,0.0,Population,Population,0.432,3.0849,40.1
2026-05-09 17:48:40,20,l:X,38.9966,0.0,Population,Population,0.432,3.0849,40.1
2026-05-09 17:48:40,20,l:last_X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.432,3.0849,40.1
2026-05-09 17:48:40,20,l:X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.432,3.0849,40.1
2026-05-09 17:48:40,20,l:G,4.6759,0.0469,Grammar,Grammar,0.432,3.0849,40.1
2026-05-09 17:48:40,20,l:histories,2.1892,0.1555,dict,dict len=37,0.432,3.0849,40.1
2026-05-09 17:48:40,20,l:histories['g_mcts_children'],1.9619,0.1407,list,list len=21,0.432,3.0849,40.1
2026-05-09 17:48:40,20,l:G._MCTS_CHILDREN,1.5624,0.0141,dict,dict len=3631,0.432,3.0849,40.1
2026-05-09 17:48:40,20,l:G._MCTS_ALPHA_EDGE_EXPLORE_COUNT,1.5075,0.0201,dict,dict len=17262,0.432,3.0849,40.1
2026-05-09 17:48:40,20,l:initialization_kwargs,1.3588,0.0015,dict,dict len=15,0.432,3.0849,40.1
2026-05-09 17:48:40,20,l:initialization_kwargs['grmr_prior'],1.3571,0.0015,Grammar,Grammar,0.432,3.0849,40.1
2026-05-09 17:49:24,21,l:last_X,38.9966,0.0,Population,Population,0.4334,3.0858,40.1
2026-05-09 17:49:24,21,l:X,38.9966,0.0,Population,Population,0.4334,3.0858,40.1
2026-05-09 17:49:24,21,l:last_X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4334,3.0858,40.1
2026-05-09 17:49:24,21,l:X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4334,3.0858,40.1
2026-05-09 17:49:24,21,l:G,4.755,0.0791,Grammar,Grammar,0.4334,3.0858,40.1
2026-05-09 17:49:24,21,l:histories,2.3447,0.1555,dict,dict len=37,0.4334,3.0858,40.1
2026-05-09 17:49:24,21,l:histories['g_mcts_children'],2.1026,0.1407,list,list len=22,0.4334,3.0858,40.1
2026-05-09 17:49:24,21,l:G._MCTS_CHILDREN,1.5839,0.0215,dict,dict len=3686,0.4334,3.0858,40.1
2026-05-09 17:49:24,21,l:G._MCTS_ALPHA_EDGE_EXPLORE_COUNT,1.5516,0.0441,dict,dict len=18067,0.4334,3.0858,40.1
2026-05-09 17:49:24,21,l:initialization_kwargs,1.3588,0.0,dict,dict len=15,0.4334,3.0858,40.1
2026-05-09 17:49:24,21,l:initialization_kwargs['grmr_prior'],1.3571,0.0,Grammar,Grammar,0.4334,3.0858,40.1
2026-05-09 17:50:04,22,l:last_X,38.9966,0.0,Population,Population,0.4344,3.0868,40.0
2026-05-09 17:50:04,22,l:X,38.9966,0.0,Population,Population,0.4344,3.0868,40.0
2026-05-09 17:50:04,22,l:last_X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4344,3.0868,40.0
2026-05-09 17:50:04,22,l:X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4344,3.0868,40.0
2026-05-09 17:50:04,22,l:G,4.8459,0.0909,Grammar,Grammar,0.4344,3.0868,40.0
2026-05-09 17:50:04,22,l:histories,2.5002,0.1555,dict,dict len=37,0.4344,3.0868,40.0
2026-05-09 17:50:04,22,l:histories['g_mcts_children'],2.2433,0.1407,list,list len=23,0.4344,3.0868,40.0
2026-05-09 17:50:04,22,l:G._MCTS_CHILDREN,1.6109,0.027,dict,dict len=3755,0.4344,3.0868,40.0
2026-05-09 17:50:04,22,l:G._MCTS_ALPHA_EDGE_EXPLORE_COUNT,1.5955,0.0439,dict,dict len=18869,0.4344,3.0868,40.0
2026-05-09 17:50:04,22,l:initialization_kwargs,1.3588,0.0,dict,dict len=15,0.4344,3.0868,40.0
2026-05-09 17:50:04,22,l:initialization_kwargs['grmr_prior'],1.3571,0.0,Grammar,Grammar,0.4344,3.0868,40.0
2026-05-09 17:50:38,23,l:last_X,38.9966,0.0,Population,Population,0.4353,3.0878,39.9
2026-05-09 17:50:38,23,l:X,38.9966,0.0,Population,Population,0.4353,3.0878,39.9
2026-05-09 17:50:38,23,l:last_X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4353,3.0878,39.9
2026-05-09 17:50:38,23,l:X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4353,3.0878,39.9
2026-05-09 17:50:38,23,l:G,4.9067,0.0608,Grammar,Grammar,0.4353,3.0878,39.9
2026-05-09 17:50:38,23,l:histories,2.6557,0.1555,dict,dict len=37,0.4353,3.0878,39.9
2026-05-09 17:50:38,23,l:histories['g_mcts_children'],2.384,0.1407,list,list len=24,0.4353,3.0878,39.9
2026-05-09 17:50:38,23,l:G._MCTS_CHILDREN,1.629,0.018,dict,dict len=3801,0.4353,3.0878,39.9
2026-05-09 17:50:38,23,l:G._MCTS_ALPHA_EDGE_EXPLORE_COUNT,1.628,0.0325,dict,dict len=19368,0.4353,3.0878,39.9
2026-05-09 17:50:38,23,l:initialization_kwargs,1.3588,0.0,dict,dict len=15,0.4353,3.0878,39.9
2026-05-09 17:50:38,23,l:initialization_kwargs['grmr_prior'],1.3571,0.0,Grammar,Grammar,0.4353,3.0878,39.9
2026-05-09 17:51:03,24,l:last_X,38.9966,0.0,Population,Population,0.4219,3.074,40.1
2026-05-09 17:51:03,24,l:X,38.9966,0.0,Population,Population,0.4219,3.074,40.1
2026-05-09 17:51:03,24,l:last_X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4219,3.074,40.1
2026-05-09 17:51:03,24,l:X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4219,3.074,40.1
2026-05-09 17:51:03,24,l:G,4.9441,0.0374,Grammar,Grammar,0.4219,3.074,40.1
2026-05-09 17:51:03,24,l:histories,2.8132,0.1575,dict,dict len=37,0.4219,3.074,40.1
2026-05-09 17:51:03,24,l:histories['g_mcts_children'],2.5248,0.1408,list,list len=25,0.4219,3.074,40.1
2026-05-09 17:51:03,24,l:G._MCTS_ALPHA_EDGE_EXPLORE_COUNT,1.646,0.018,dict,dict len=19695,0.4219,3.074,40.1
2026-05-09 17:51:03,24,l:G._MCTS_CHILDREN,1.6387,0.0098,dict,dict len=3826,0.4219,3.074,40.1
2026-05-09 17:51:03,24,l:initialization_kwargs,1.3588,0.0,dict,dict len=15,0.4219,3.074,40.1
2026-05-09 17:51:03,24,l:initialization_kwargs['grmr_prior'],1.3571,0.0,Grammar,Grammar,0.4219,3.074,40.1
2026-05-09 17:51:27,25,l:last_X,38.9966,0.0,Population,Population,0.4248,3.077,39.9
2026-05-09 17:51:27,25,l:X,38.9966,0.0,Population,Population,0.4248,3.077,39.9
2026-05-09 17:51:27,25,l:last_X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4248,3.077,39.9
2026-05-09 17:51:27,25,l:X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4248,3.077,39.9
2026-05-09 17:51:27,25,l:G,4.9702,0.0261,Grammar,Grammar,0.4248,3.077,39.9
2026-05-09 17:51:27,25,l:histories,2.9687,0.1556,dict,dict len=37,0.4248,3.077,39.9
2026-05-09 17:51:27,25,l:histories['g_mcts_children'],2.6655,0.1407,list,list len=26,0.4248,3.077,39.9
2026-05-09 17:51:27,25,l:G._MCTS_ALPHA_EDGE_EXPLORE_COUNT,1.6574,0.0114,dict,dict len=19903,0.4248,3.077,39.9
2026-05-09 17:51:27,25,l:G._MCTS_CHILDREN,1.6446,0.0059,dict,dict len=3841,0.4248,3.077,39.9
2026-05-09 17:51:27,25,l:initialization_kwargs,1.3588,0.0,dict,dict len=15,0.4248,3.077,39.9
2026-05-09 17:51:27,25,l:initialization_kwargs['grmr_prior'],1.3571,0.0,Grammar,Grammar,0.4248,3.077,39.9
2026-05-09 17:51:54,26,l:last_X,38.9966,0.0,Population,Population,0.4394,3.0917,40.1
2026-05-09 17:51:54,26,l:X,38.9966,0.0,Population,Population,0.4394,3.0917,40.1
2026-05-09 17:51:54,26,l:last_X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4394,3.0917,40.1
2026-05-09 17:51:54,26,l:X._X_inst,38.2046,0.0,ndarray,"ndarray shape=(100151, 100) dtype=float32",0.4394,3.0917,40.1
2026-05-09 17:51:54,26,l:G,5.0135,0.0433,Grammar,Grammar,0.4394,3.0917,40.1
2026-05-09 17:51:54,26,l:histories,3.1243,0.1555,dict,dict len=37,0.4394,3.0917,40.1
