time,pid,rss_gb,vms_gb,child_count,child_rss_gb,system_mem_percent,swap_percent,threads,fds,open_files,disk_free_gb,gpu_used_mb,gpu_total_mb,gpu_util_percent,tmp_files__tmp,tmp_gb__tmp,tmp_files_._tmp,tmp_gb_._tmp,tmp_files_._streamlit_tmp,tmp_gb_._streamlit_tmp
2026-05-08 13:12:36,18016,1.0529,2.6311,0,0.0,92.9,81.4,14,10,3,905.2964,0.0,4096.0,0.0,257,0.0,0,0.0,0,0.0
2026-05-08 13:12:42,18016,1.0655,2.6487,0,0.0,90.2,84.2,14,10,3,905.2961,0.0,4096.0,0.0,257,0.0,0,0.0,0,0.0
2026-05-08 13:12:47,18016,1.0665,2.6496,0,0.0,91.1,84.2,14,10,3,905.2961,0.0,4096.0,0.0,134,0.0,0,0.0,0,0.0
2026-05-08 13:12:53,18016,1.0674,2.6506,0,0.0,91.2,84.2,14,10,3,905.2961,0.0,4096.0,0.0,134,0.0,0,0.0,0,0.0
2026-05-08 13:12:59,18016,1.0687,2.6516,0,0.0,91.5,84.2,14,10,3,905.2961,0.0,4096.0,0.0,134,0.0,0,0.0,0,0.0
2026-05-08 13:13:04,18016,1.0328,2.6526,0,0.0,90.7,84.2,14,10,3,905.2961,0.0,4096.0,0.0,134,0.0,0,0.0,0,0.0
2026-05-08 13:13:09,18016,0.9572,2.536,0,0.0,88.2,84.2,14,10,3,905.2958,0.0,4096.0,0.0,134,0.0,0,0.0,0,0.0
2026-05-08 13:13:15,18016,0.9739,2.5489,0,0.0,88.8,84.2,14,11,4,905.2985,0.0,4096.0,0.0,134,0.0,0,0.0,0,0.0
2026-05-08 13:13:20,18016,1.0241,2.6186,0,0.0,90.2,84.2,14,10,3,905.2939,0.0,4096.0,0.0,134,0.0,0,0.0,0,0.0
2026-05-08 13:13:25,18016,1.0915,2.6675,0,0.0,92.4,84.2,14,10,3,905.2939,0.0,4096.0,0.0,134,0.0,0,0.0,0,0.0
2026-05-08 13:13:31,18016,1.1391,2.7222,0,0.0,93.3,89.3,14,10,3,905.2939,0.0,4096.0,0.0,134,0.0,0,0.0,0,0.0
2026-05-08 13:13:36,18016,1.15,2.7329,0,0.0,90.8,89.3,14,10,3,905.2939,0.0,4096.0,0.0,134,0.0,0,0.0,0,0.0
2026-05-08 13:13:42,18016,1.1515,2.7339,0,0.0,90.9,89.3,14,10,3,905.2939,0.0,4096.0,0.0,134,0.0,0,0.0,0,0.0
2026-05-08 13:13:47,18016,1.1156,2.7359,0,0.0,89.9,89.3,14,10,3,905.2939,0.0,4096.0,0.0,134,0.0,0,0.0,0,0.0
2026-05-08 13:13:52,18016,1.1544,2.7368,0,0.0,90.9,89.3,14,10,3,905.2939,0.0,4096.0,0.0,134,0.0,0,0.0,0,0.0
2026-05-08 13:13:58,18016,1.1554,2.7378,0,0.0,90.9,89.3,14,10,3,905.2939,0.0,4096.0,0.0,134,0.0,0,0.0,0,0.0
2026-05-08 13:14:04,18016,1.1578,2.7407,0,0.0,91.0,89.3,14,10,3,905.2939,0.0,4096.0,0.0,134,0.0,0,0.0,0,0.0
2026-05-08 13:14:09,18016,1.0413,2.6231,0,0.0,87.8,89.3,14,10,3,905.2936,0.0,4096.0,0.0,134,0.0,0,0.0,0,0.0
2026-05-08 13:14:14,18016,1.0413,2.6231,0,0.0,88.3,89.0,14,11,4,905.2978,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:14:20,18016,1.0021,2.5839,0,0.0,87.4,89.0,14,10,3,905.2917,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:14:26,18016,1.114,2.6958,0,0.0,91.1,89.0,14,10,3,905.2917,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
2026-05-08 13:14:31,18016,1.2262,2.8101,0,0.0,93.6,89.7,14,10,3,905.2917,0.0,4096.0,0.0,135,0.0,0,0.0,0,0.0
